seconds,data
float,int
,
1.22075,180
1.2208125,182
1.220875,182
1.2209375,181
1.221,181
1.2210625,179
1.221125,175
1.2211875,172
1.22125,167
1.2213125,159
1.221375,147
1.2214375,126
1.2215,108
1.2215625,97
1.221625,90
1.2216875,88
1.22175,86
1.2218125,85
1.221875,85
1.2219375,86
1.222,87
1.2220625,88
1.222125,90
1.2221875,93
1.22225,94
1.2223125,97
1.222375,96
1.2224375,96
1.2225,95
1.2225625,95
1.222625,95
1.2226875,93
1.22275,92
1.2228125,93
1.222875,94
1.2229375,96
1.223,100
1.2230625,106
1.223125,114
1.2231875,131
1.22325,146
1.2233125,155
1.223375,161
1.2234375,165
1.2235,169
1.2235625,174
1.223625,171
1.2236875,177
1.22375,177
1.2238125,174
1.223875,176
1.2239375,171
1.224,172
1.2240625,165
1.224125,159
1.2241875,155
1.22425,127
1.2243125,118
1.224375,104
1.2244375,95
1.2245,90
1.2245625,86
1.224625,87
1.2246875,83
1.22475,83
1.2248125,85
1.224875,85
1.2249375,85
1.225,87
1.2250625,90
1.225125,93
1.2251875,97
1.22525,104
1.2253125,111
1.225375,113
1.2254375,118
1.2255,118
1.2255625,118
1.225625,114
1.2256875,124
1.22575,128
1.2258125,124
1.225875,130
1.2259375,128
1.226,124
1.2260625,126
1.226125,134
1.2261875,139
1.22625,135
1.2263125,138
1.226375,142
1.2264375,139
1.2265,136
1.2265625,128
1.226625,121
1.2266875,111
1.22675,105
1.2268125,100
1.226875,96
1.2269375,94
1.227,92
1.2270625,90
1.227125,86
1.2271875,83
1.22725,81
1.2273125,79
1.227375,79
1.2274375,78
1.2275,78
1.2275625,79
1.227625,79
1.2276875,80
1.22775,80
1.2278125,81
1.227875,82
1.2279375,84
1.228,87
1.2280625,91
1.228125,94
1.2281875,101
1.22825,104
1.2283125,116
1.228375,138
1.2284375,150
1.2285,161
1.2285625,165
1.228625,172
1.2286875,176
1.22875,180
1.2288125,184
1.228875,186
1.2289375,188
1.229,190
1.2290625,191
1.229125,191
1.2291875,190
1.22925,190
1.2293125,187
1.229375,185
1.2294375,182
1.2295,179
1.2295625,176
1.229625,171
1.2296875,165
1.22975,157
1.2298125,137
1.229875,108
1.2299375,95
1.23,91
1.2300625,86
1.230125,85
1.2301875,85
1.23025,85
1.2303125,87
1.230375,86
1.2304375,86
1.2305,85
1.2305625,86
1.230625,88
1.2306875,89
1.23075,89
1.2308125,90
1.230875,92
1.2309375,94
1.231,96
1.2310625,98
1.231125,101
1.2311875,107
1.23125,114
1.2313125,126
1.231375,141
1.2314375,150
1.2315,159
1.2315625,162
1.231625,165
1.2316875,168
1.23175,170
1.2318125,172
1.231875,173
1.2319375,173
1.232,172
1.2320625,170
1.232125,167
1.2321875,163
1.23225,157
1.2323125,147
1.232375,128
1.2324375,111
1.2325,100
1.2325625,94
1.232625,89
1.2326875,85
1.23275,84
1.2328125,82
1.232875,83
1.2329375,82
1.233,83
1.2330625,85
1.233125,87
1.2331875,89
1.23325,93
1.2333125,100
1.233375,102
1.2334375,106
1.2335,110
1.2335625,110
1.233625,112
1.2336875,116
1.23375,118
1.2338125,136
1.233875,121
1.2339375,141
1.234,146
1.2340625,136
1.234125,150
1.2341875,148
1.23425,156
1.2343125,159
1.234375,162
1.2344375,167
1.2345,164
1.2345625,165
1.234625,166
1.2346875,161
1.23475,160
1.2348125,158
1.234875,156
1.2349375,146
1.235,137
1.2350625,128
1.235125,107
1.2351875,98
1.23525,96
1.2353125,91
1.235375,89
1.2354375,87
1.2355,87
1.2355625,85
1.235625,83
1.2356875,83
1.23575,85
1.2358125,86
1.235875,87
1.2359375,89
1.236,90
1.2360625,90
1.236125,95
1.2361875,97
1.23625,98
1.2363125,98
1.236375,100
1.2364375,102
1.2365,102
1.2365625,103
1.236625,101
1.2366875,97
1.23675,95
1.2368125,94
1.236875,91
1.2369375,90
1.237,89
1.2370625,89
1.237125,87
1.2371875,86
1.23725,85
1.2373125,83
1.237375,81
1.2374375,79
1.2375,77
1.2375625,76
1.237625,76
1.2376875,75
1.23775,76
1.2378125,76
1.237875,80
1.2379375,86
1.238,86
1.2380625,103
1.238125,123
1.2381875,151
1.23825,169
1.2383125,176
1.238375,183
1.2384375,186
1.2385,189
1.2385625,193
1.238625,193
1.2386875,194
1.23875,195
1.2388125,195
1.238875,194
1.2389375,192
1.239,191
1.2390625,187
1.239125,184
1.2391875,181
1.23925,178
1.2393125,170
1.239375,165
1.2394375,157
1.2395,135
1.2395625,109
1.239625,105
1.2396875,99
1.23975,92
1.2398125,88
1.239875,90
1.2399375,89
1.24,86
1.2400625,89
1.240125,91
1.2401875,89
1.24025,88
1.2403125,89
1.240375,87
1.2404375,83
1.2405,83
1.2405625,85
1.240625,84
1.2406875,84
1.24075,87
1.2408125,91
1.240875,94
1.2409375,100
1.241,121
1.2410625,141
1.241125,155
1.2411875,165
1.24125,171
1.2413125,174
1.241375,177
1.2414375,181
1.2415,183
1.2415625,183
1.241625,182
1.2416875,182
1.24175,179
1.2418125,175
1.241875,171
1.2419375,165
1.242,154
1.2420625,136
1.242125,113
1.2421875,97
1.24225,88
1.2423125,83
1.242375,81
1.2424375,79
1.2425,80
1.2425625,81
1.242625,82
1.2426875,83
1.24275,86
1.2428125,90
1.242875,93
1.2429375,99
1.243,104
1.2430625,107
1.243125,108
1.2431875,111
1.24325,109
1.2433125,105
1.243375,102
1.2434375,101
1.2435,105
1.2435625,105
1.243625,106
1.2436875,110
1.24375,108
1.2438125,115
1.243875,130
1.2439375,142
1.244,149
1.2440625,156
1.244125,160
1.2441875,165
1.24425,167
1.2443125,168
1.244375,169
1.2444375,167
1.2445,166
1.2445625,163
1.244625,159
1.2446875,152
1.24475,144
1.2448125,126
1.244875,111
1.2449375,101
1.245,96
1.2450625,90
1.245125,90
1.2451875,87
1.24525,85
1.2453125,89
1.245375,89
1.2454375,93
1.2455,98
1.2455625,100
1.245625,106
1.2456875,107
1.24575,116
1.2458125,130
1.245875,130
1.2459375,141
1.246,136
1.2460625,132
1.246125,130
1.2461875,129
1.24625,122
1.2463125,111
1.246375,111
1.2464375,107
1.2465,102
1.2465625,99
1.246625,101
1.2466875,101
1.24675,101
1.2468125,105
1.246875,110
1.2469375,116
1.247,125
1.2470625,142
1.247125,151
1.2471875,152
1.24725,155
1.2473125,157
1.247375,152
1.2474375,147
1.2475,144
1.2475625,135
1.247625,132
1.2476875,117
1.24775,112
1.2478125,104
1.247875,98
1.2479375,97
1.248,93
1.2480625,93
1.248125,96
1.2481875,100
1.24825,105
1.2483125,111
1.248375,119
1.2484375,135
1.2485,139
1.2485625,144
1.248625,146
1.2486875,149
1.24875,151
1.2488125,151
1.248875,152
1.2489375,147
1.249,139
1.2490625,128
1.249125,118
1.2491875,110
1.24925,105
1.2493125,102
1.249375,97
1.2494375,93
1.2495,92
1.2495625,90
1.249625,89
1.2496875,87
1.24975,89
1.2498125,89
1.249875,90
1.2499375,94
1.25,94
1.2500625,94
1.250125,93
1.2501875,92
1.25025,91
1.2503125,90
1.250375,90
1.2504375,90
1.2505,91
1.2505625,93
1.250625,101
1.2506875,102
1.25075,109
1.2508125,137
1.250875,148
1.2509375,159
1.251,167
1.2510625,174
1.251125,179
1.2511875,180
1.25125,184
1.2513125,187
1.251375,187
1.2514375,189
1.2515,189
1.2515625,188
1.251625,187
1.2516875,186
1.25175,184
1.2518125,180
1.251875,176
1.2519375,172
1.252,164
1.2520625,153
1.252125,141
1.2521875,116
1.25225,100
1.2523125,95
1.252375,92
1.2524375,90
1.2525,87
1.2525625,87
1.252625,90
1.2526875,89
1.25275,91
1.2528125,94
1.252875,98
1.2529375,99
1.253,103
1.2530625,104
1.253125,102
1.2531875,99
1.25325,95
1.2533125,94
1.253375,91
1.2534375,91
1.2535,95
1.2535625,98
1.253625,99
1.2536875,104
1.25375,112
1.2538125,118
1.253875,137
1.2539375,147
1.254,152
1.2540625,157
1.254125,159
1.2541875,165
1.25425,166
1.2543125,165
1.254375,163
1.2544375,163
1.2545,161
1.2545625,158
1.254625,155
1.2546875,141
1.25475,118
1.2548125,107
1.254875,100
1.2549375,96
1.255,91
1.2550625,90
1.255125,90
1.2551875,90
1.25525,91
1.2553125,92
1.255375,93
1.2554375,95
1.2555,100
1.2555625,103
1.255625,107
1.2556875,111
1.25575,118
1.2558125,125
1.255875,122
1.2559375,121
1.256,116
1.2560625,109
1.256125,107
1.2561875,104
1.25625,102
1.2563125,101
1.256375,104
1.2564375,108
1.2565,107
1.2565625,113
1.256625,102
1.2566875,121
1.25675,126
1.2568125,124
1.256875,149
1.2569375,147
1.257,154
1.2570625,154
1.257125,156
1.2571875,159
1.25725,152
1.2573125,155
1.257375,152
1.2574375,143
1.2575,138
1.2575625,118
1.257625,107
1.2576875,96
1.25775,96
1.2578125,94
1.257875,92
1.2579375,93
1.258,96
1.2580625,97
1.258125,97
1.2581875,100
1.25825,106
1.2583125,108
1.258375,114
1.2584375,115
1.2585,118
1.2585625,117
1.258625,113
1.2586875,113
1.25875,105
1.2588125,102
1.258875,99
1.2589375,95
1.259,91
1.2590625,89
1.259125,87
1.2591875,86
1.25925,86
1.2593125,89
1.259375,90
1.2594375,92
1.2595,95
1.2595625,98
1.259625,102
1.2596875,103
1.25975,104
1.2598125,106
1.259875,106
1.2599375,105
1.26,105
1.2600625,103
1.260125,102
1.2601875,100
1.26025,96
1.2603125,94
1.260375,92
1.2604375,91
1.2605,90
1.2605625,90
1.260625,92
1.2606875,93
1.26075,97
1.2608125,102
1.260875,110
1.2609375,126
1.261,147
1.2610625,160
1.261125,168
1.2611875,174
1.26125,177
1.2613125,180
1.261375,182
1.2614375,184
1.2615,186
1.2615625,186
1.261625,187
1.2616875,186
1.26175,184
1.2618125,182
1.261875,180
1.2619375,176
1.262,173
1.2620625,170
1.262125,165
1.2621875,159
1.26225,152
1.2623125,144
1.262375,129
1.2624375,115
1.2625,110
1.2625625,115
1.262625,118
1.2626875,125
1.26275,139
1.2628125,146
1.262875,150
1.2629375,154
1.263,156
1.2630625,153
1.263125,150
1.2631875,147
1.26325,136
1.2633125,116
1.263375,108
1.2634375,104
1.2635,98
1.2635625,95
1.263625,93
1.2636875,93
1.26375,94
1.2638125,97
1.263875,103
1.2639375,109
1.264,113
1.2640625,124
1.264125,135
1.2641875,141
1.26425,148
1.2643125,154
1.264375,158
1.2644375,159
1.2645,160
1.2645625,160
1.264625,156
1.2646875,153
1.26475,151
1.2648125,143
1.264875,135
1.2649375,122
1.265,110
1.2650625,102
1.265125,99
1.2651875,97
1.26525,98
1.2653125,101
1.265375,104
1.2654375,108
1.2655,109
1.2655625,115
1.265625,123
1.2656875,131
1.26575,140
1.2658125,142
1.265875,145
1.2659375,144
1.266,138
1.2660625,134
1.266125,129
1.2661875,116
1.26625,113
1.2663125,106
1.266375,102
1.2664375,99
1.2665,97
1.2665625,95
1.266625,95
1.2666875,95
1.26675,98
1.2668125,103
1.266875,108
1.2669375,118
1.267,124
1.2670625,135
1.267125,139
1.2671875,145
1.26725,146
1.2673125,147
1.267375,148
1.2674375,146
1.2675,143
1.2675625,136
1.267625,127
1.2676875,116
1.26775,112
1.2678125,105
1.267875,100
1.2679375,98
1.268,96
1.2680625,98
1.268125,98
1.2681875,100
1.26825,103
1.2683125,106
1.268375,110
1.2684375,109
1.2685,109
1.2685625,110
1.268625,109
1.2686875,115
1.26875,122
1.2688125,129
1.268875,132
1.2689375,129
1.269,121
1.2690625,115
1.269125,109
1.2691875,108
1.26925,103
1.2693125,101
1.269375,101
1.2694375,100
1.2695,99
1.2695625,100
1.269625,104
1.2696875,110
1.26975,125
1.2698125,136
1.269875,141
1.2699375,143
1.27,142
1.2700625,148
1.270125,148
1.2701875,148
1.27025,149
1.2703125,147
1.270375,146
1.2704375,137
1.2705,129
1.2705625,123
1.270625,118
1.2706875,113
1.27075,109
1.2708125,105
1.270875,105
1.2709375,105
1.271,105
1.2710625,105
1.271125,107
1.2711875,109
1.27125,112
1.2713125,120
1.271375,126
1.2714375,130
1.2715,130
1.2715625,134
1.271625,134
1.2716875,132
1.27175,129
1.2718125,130
1.271875,124
1.2719375,131
1.272,150
1.2720625,138
1.272125,149
1.2721875,160
1.27225,151
1.2723125,158
1.272375,160
1.2724375,157
1.2725,158
1.2725625,156
1.272625,157
1.2726875,150
1.27275,148
1.2728125,152
1.272875,135
1.2729375,124
1.273,117
1.2730625,115
1.273125,104
1.2731875,102
1.27325,107
1.2733125,102
1.273375,99
1.2734375,100
1.2735,101
1.2735625,100
1.273625,103
1.2736875,108
1.27375,105
1.2738125,105
1.273875,106
1.2739375,106
1.274,106
1.2740625,102
1.274125,100
